,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
222,14.0,broccoli (calabrese),14.15,,Asda ,335g ,28.11.2011 ,"Asda , Norwich ",28-Nov,30-Nov,900506,Plastic ,Ambie nt ,Refrigerated ,0.0,335g 
223,14.0,broccoli (calabrese),14.16,"Sainsbury’s, broccoli ",Sainsbury’s ,300g ,28.11.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 30 Nov ,30-Nov,K0087D ,Plastic ,,Refrigerated ,0.0,300g 
224,14.0,broccoli (calabrese),14.17,"Morrisons, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Morrisons , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
225,14.0,broccoli (calabrese),14.18,"Waitrose, broc coli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
226,14.0,broccoli (calabrese),14.19,Oaklands broccoli ,Oaklands ,500g ,28.11.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: W-0385 L-4702 TR2-24713496 AGRORIZAO S.L. CIF  ,W-0385 L-4702 TR2-24713496 AGRORIZAO S.L. CIF  ,Plastic ,Ambient ,Refrigerated ,0.0,500g 
227,14.0,broccoli (calabrese),14.2,"Tesco, Market Value, broccoli ",Tesco Market Value ,299.5,28.11.2011 ,"Tesco, Blue Boar, Norwich ",30-Nov,Batch Number: ASE01(T) 178868 ,ASE01(T) 178868 ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 05.09.2011 
228,14.0,broccoli (calabrese),14.22,"Makro, broccoli, loose ",Pack size: ,Purchase Date: 28.11.2011 ,28.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated ,0.0,Purchase Date: 28.11.2011 
229,15.0,broccoli (calabrese),15.1,"Tesco, broccoli florets ",Tesco ,400g ,05.09.2011 ,"Tesco, Blue Boar , Norwich ",08-Sep,09-Sep,CE ,Plastic ,Ambient ,Refrigerated ,0.0,400g 
230,15.0,broccoli (calabrese),15.2,"Tesco, broccoli, loose ",Pack size: ,Purchase Date: 05.09.2011 ,05.09.2011 ,"Tesco, Blue Boar Road , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 05.09.2011 
231,15.0,broccoli (calabrese),15.3,"Asda, British broccoli ",Asda ,300g ,05.09.2011 ,"Asda , Norwich ",06-Sep,08-Sep,730000,Plastic ,,Refrigerated ,0.0,300g 
