,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
124,55.0,"chickpeas, canned, reheated  ",55.6,Aldi Sweet Harvest chick peas  ,220.4,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Metal  ,400g; drained weight: 240g  
125,55.0,"chickpeas, canned, reheated  ",55.7,Essential Waitrose chick peas in water  ,247.6,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Metal  ,400g; net drained weight: 240g  
126,55.0,"chickpeas, canned, reheated  ",55.8,Napolina classic chick peas in  water  ,537.8,16.11.15  ,"Booker, Norwich  ",Metal  ,Net weight: 800g; drained weight: 480g  
127,55.0,"chickpeas, canned, reheated  ",55.9,Napolina chick peas in water  ,265.1,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
128,55.0,"chickpeas, canned, reheated  ",55.1,Napolina chick peas in water  ,266.3,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
129,12.0,"courgettes, fresh, raw  ",12.1,Tesco courgettes  ,179.4,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
130,12.0,"courgettes, fresh, raw  ",12.2,Tesco courgettes  ,500g  ,16.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
131,12.0,"courgettes, fresh, raw  ",12.3,Asda Grower’s Selection British courgettes  ,214.4,17.08.15  ,"Asda, Boundary  Road, Norwich  ",Plastic  ,3 pack  
132,12.0,"courgettes, fresh, raw  ",12.4,Sainsbury’s courgettes  ,234.1,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
133,12.0,"courgettes, fresh, raw  ",12.5,Morrisons courgettes  ,320.9,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Loose  ,Purchase Date:  
134,12.0,"courgettes, fresh, raw  ",12.6,M&S courgettes  ,177.9,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,325g  
135,12.0,"courgettes, fresh, raw  ",12.7,Wood Farm  courgettes  ,168.3,17.08.15  ,"Aldi, Larkman Lane, Norwich  ",Plastic  ,500g  
136,12.0,"courgettes, fresh, raw  ",nan,Sainsbury’s Basics courgettes  ,1kg ,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic netting  ,Purchase Date:  
137,12.0,"courgettes, fresh, raw  ",12.9,Tesco British courgettes  ,185.4,19.08.15  ,"Tesco Express, Westlegate, Norwich  ",Plastic  ,300g  
138,12.0,"courgettes, fresh, raw  ",12.1,Greengrocers courgettes  ,179.4,26.11.15  ,"Independent greengrocers, Norwich  ",Loose  ,Purchase Date:  
139,12.0,"courgettes, fresh, raw  ",12.11,Farm Fresh courgettes  ,193.3,17.11.15  ,"Booker, Norwich  ",Plastic  ,1kg 
140,34.0,"curly kale, fresh, boiled  ",34.1,Tesco British curly kale  ,46.2,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,206g  
141,61.0,"edamame, frozen, boiled  ",61.1,Tesco edamame beans  ,462.9,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
142,61.0,"edamame, frozen, boiled  ",61.2,Tesco edamame beans  ,482.8,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
143,61.0,"edamame, frozen, boiled  ",61.3,Tesco soya beans  ,390.9,30.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,600g  
144,61.0,"edamame, frozen, boiled  ",61.4,Yutaka edamame soybeans with pods  ,418.2,30.11.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
145,61.0,"edamame, frozen, boiled  ",61.5,Yutaka edamame shelled soybeans  ,497.7,30.11.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
146,61.0,"edamame, frozen, boiled  ",61.6,Birds Eye soya beans  ,407.6,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,480g  
147,61.0,"edamame, frozen, boiled  ",61.7,Birds Eye soya beans  ,401.3,30.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,480g  
148,62.0,"figs, ready to eat, semi -dried  ",62.1,Tesco ready to eat figs  ,14.3,27.01.16  ,"Tesco, Harford Bridges, Norwich   ",Mixed material  ,250g  
149,62.0,"figs, ready to eat, semi -dried  ",62.2,Tesco Whole Foods ready to eat figs  ,14.0,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,440g  
150,62.0,"figs, ready to eat, semi -dried  ",62.3,Asda Good & Balanced figs  ,16.3,27.01.16  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
151,62.0,"figs, ready to eat, semi -dried  ",62.4,Sainsbury’s figs  ,20.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
152,62.0,"figs, ready to eat, semi -dried  ",62.5,Waitrose Love Life soft smyrna figs  ,21.4,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",Mixed material  ,250g  
153,62.0,"figs, ready to eat, semi -dried  ",62.6,Morrisons Wholefoods soft figs  ,17.3,04.02.16  ,"Morrisons, Wymondham , Norfolk   ",Plastic  ,500g  
154,62.0,"figs, ready to eat, semi -dried  ",62.7,The Co -operative Loved by Us dried figs  ,13.8,18.01.16  ,"The Co -operative, Wymondham  ",Plastic  ,250g  
155,62.0,"figs, ready to eat, semi -dried  ",62.8,Neal’s Yard Wholefoods ready to eat figs  ,16.0,18.01.16  ,Holland & Barrett delivery  ,Plastic  ,250g  
