Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
granola super nutty,500g,Unknown Packaging,"Belgium, Germany, en:sweden",Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
protein granola berry,400 g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,400.0,g,400.0,g
muesli berries cherries,500 g,,France,Cereals,Uncategorized,Other,500.0,g,500.0,g
wholewheat spaghetti cooked,500g,Unknown Packaging,"France, en:united-kingdom",Cereals,Uncategorized,Other,500.0,g,500.0,g
basmati rice raw,1 kg,Plastic,"United Kingdom,Ireland",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
malted wheats,750g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,750.0,g,750.0,g
go free gluten free corn flakes imp,375g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,375.0,g,375.0,g
bran flakes harvest morn,750 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,750.0,g,750.0,g
original ancient grain granola,12 oz (340 g),Unknown Packaging,"Panama,United States, World",Cereals,Uncategorized,Other,340.20000000000005,g,340.20000000000005,g
special flakes with red berries,375g,"Bag, Card-box, en:paper-box","France, en:united-kingdom",Cereals,Uncategorized,Other,375.0,g,375.0,g
sticky rice,2 x 130 g,"en:pp-tray, en:pp film-film",United Kingdom,Cereals,Uncategorized,Other,130.0,g,130.0,g
rigatoni,500g,"Card-box,Mixed plastic film-sleeve",United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
basmati rice,2 x 125 g,"en:pp-label, en:pp-tray",en:gb,Cereals,Uncategorized,Other,125.0,g,125.0,g
strawberry almond low sugar granola,380g,Unknown Packaging,en:United Kingdom,Cereals,Sugars and confectionery,Processed foods,380.0,g,380.0,g
super berry oat bars,3 x 38 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,38.0,g,38.0,g
honey nut cheerios,10.8oz,"en:Box, en:card-box",United States,Cereals,Nuts and seeds,Plant-based foods,306.18000000000006,g,306.18000000000006,g
spaghetti hoops 205g,205g,"Paper-sleeve, Steel-can",United Kingdom,Cereals,Uncategorized,Other,205.0,g,205.0,g
porridge oats,1 kg,"Plastic,Recyclable material,Recyclable plastic,Ldpe-packet",United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
galette de mais,150 g,"Plastique, Sachet, Paquet, Sachet en plastique",France,Cereals,Uncategorized,Other,150.0,g,150.0,g
nippon puffed rice with chocolate,200g,"Plastique,Sachet","France,Allemagne,Italie,Suisse",Cereals,Uncategorized,Other,200.0,g,200.0,g
arborio risotto rice,1kg,"Plastic, Mixed plastic-packet",United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
lizis,1 kg,en:Mixed plastic film-packet,"France, Spain, en:united-kingdom",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
cacao almond oat bar,50g,en:unknown-packet,"France, en:united-kingdom",Cereals,Uncategorized,Other,50.0,g,50.0,g
lightly salted rice cakes,127g,,United States,Cereals,Uncategorized,Other,127.0,g,127.0,g
spaghetti,500 g,Plastic bag,Morocco,Cereals,Uncategorized,Other,500.0,g,500.0,g
milled flax seeds,175g,Unknown Packaging,en:United Kingdom,Cereals,Nuts and seeds,Plant-based foods,175.0,g,175.0,g
moma oat original imp,1L,"Composite-carton, en:card-carton",en:gb,Cereals,Uncategorized,Other,1.0,l,,g
bebida de avellanas y arroz,1 l,es:Tetrabrik,"Spain, en:romania",Cereals,Uncategorized,Other,1.0,l,,g
old fashioned oats imp,18 oz (510 g),Card-tube,"France,Germany,United States, World",Cereals,Uncategorized,Other,510.3,g,510.3,g
quick 1-minute oats imp,42 Oz / 1.19 kg,"Box, Container","Canada,France,United States, World",Cereals,Nuts and seeds,Plant-based foods,1190.7,g,1190.7,g
shredded wheatn bran,18 oz,,"United States, World",Cereals,Uncategorized,Other,510.3,g,510.3,g
tropical fruits granola,1kg,,"France,United Kingdom",Cereals,Fruit,Plant-based foods,1000.0,g,1000.0,g
mighty malties,625 g,"Plastic, Bag, Box, Cardboard, en:hdpe film-bag, en:card-box",United Kingdom,Cereals,Uncategorized,Other,625.0,g,625.0,g
