,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Weight,PurEqualCon,Portion Consumed,Source
131,16-011,"chital, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
132,16-383,"coley, flesh only, raw",JA,Fish and fish products,fillet,0.38882124272100155,,,,
133,,"crab, canned in brine",JK,Fish and fish products,tin,0.7418908223079532,85g,Y,1 small can,
134,,crab,JK,Fish and fish products,,1.0,85g,Y,1 small can,
135,,"crab, white meat",JK,Fish and fish products,,0.6332428259944975,85g,Y,1 small can,
136,16-235,"crayfish, raw",JK,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
137,,calamari,JM,Fish and fish products,,0.0,,,,
138,,cockles,JM,Fish and fish products,,0.0,,,,
139,16-254,"cuttlefish, raw",JM,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
140,,caviare,JR,Fish and fish products,"tin, jar",0.0,,,,
141,16-173,"eel, yellow, raw",JC,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
142,16-375,"haddock, flesh only, raw",JA,Fish and fish products,,0.38882124272100155,,,,
143,16-070,"hake, flesh only, raw",JA,Fish and fish products,,0.38882124272100155,,,,
144,16-081,"kalabasu, raw",JA,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
145,16-186,"katla, raw",JA,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
146,,"kippers, flesh only",JC,Fish and fish products,,0.4995987696019161,150g,Y,,
147,16-393,"mackerel, flesh only, raw",JC,Fish and fish products,,0.37254422475726984,,,,
148,16-497,"mussels, raw",JM,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
149,16-259,"octopus, raw",JM,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
150,16-260,"oysters, raw",JM,Fish and fish products,,0.79710022854597,105g,Y,1 can smoked oysters,
151,16-378,"pollock, alaskan, flesh only, raw",JA,Fish and fish products,,0.38882124272100155,,,,
152,16-387,"prawns, king, raw",JK,Fish and fish products,,0.6857956998853336,100g,Y,1 small jar prawns,
153,14-363,"apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit,,0.5567942099131178,250g,Y,1 raw small,
154,14-319,"apples, eating, raw, flesh and skin",F,Fruit,,0.5143211202646338,250g,Y,1 raw small,
155,14-001,amla,FA,Fruit,,0.0,,,,
156,14-025,"apricots, raw, flesh and skin",FA,Fruit,punnet,0.6377030814579907,250g,Y,1 raw small,
157,14-392,"apricots, ready-to-eat, semi-dried",FA,Fruit,packet,0.8184457305776414,125g,Y,per pot,
158,14-040,"avocado, fuerte, flesh only, weighed with skin and stone",FA,Fruit,"loose, individual",0.3439578120815852,,,,
