,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
245,17-224,"Cider, sweet",QC,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",
246,17-659,Chocolate spread,SC,"Sugars, preserves and snacks",jar,
247,17-658,Chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks","indiviudal bar, multipack",
248,17-763,Creme egg,SEA,"Sugars, preserves and snacks",individual,
249,17-645,Corn snacks,SN,"Sugars, preserves and snacks",bag,
250,17-782,"Chevda/chevra/chewra, homemade",SNC,"Sugars, preserves and snacks",,
251,17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can,
252,17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods",,
253,17-773,"Cheese sauce, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods",,
254,17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar,
255,17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods",,
256,11-850,"Doughnuts, ring, iced",AP,Cereals and cereal products,,
257,11-849,"Doughnuts, with jam",AP,Cereals and cereal products,,
258,11-962,"Dumplings, homemade",AT,Cereals and cereal products,,
259,12-398,"Desserts, dairy, chocolate",BR,Milk and milk products,,
260,14-077,"Damsons, flesh and skin, raw",FA,Fruit,punnet,
261,14-083,"Dates, raw, flesh and skin",FA,Fruit,packet,
262,14-087,Dried mixed fruit,FA,Fruit,packet,
263,13-824,"Dill, fresh",H,Herbs and spices,bunch,
264,18-489,"Duck, meat only, raw",MCC,Meat and meat products,,
265,19-539,"Doner kebabs, meat only",MR,Meat and meat products,,
266,17-487,"Dripping, beef",OF,Fats and oils,,
267,17-498,"Drinking chocolate, powder",PAA,Beverages,,
268,17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",,
269,17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods",,
270,17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",,
271,12-937,"Eggs, chicken, whole, raw",CA,Eggs,"egg box, 6, 10, 12, 30",
272,14-089,"Elderberries, whole fruit",FA,Fruit,punnet,
273,16-173,"Eel, yellow, raw",JC,Fish and fish products,,
274,19-586,"Enchiladas, beef, homemade",MR,Meat and meat products,,
275,17-672,"Energy drink, carbonated",PCA,Beverages,"can, ready to drink bottle, sharing bottle",
276,11-899,"Flour, gari (cassava flour)",AA,,bag,
277,11-886,"Flour, wheat, white, plain, soft",AA,,bag,
278,11-805,Fig Rolls,AM,,,
279,11-814,"Flapjacks, retail",AM,,,
280,12-528,"Fromage frais, virtually fat free, natural",BN,,pot,
281,12-232,"Fruit fool, homemade",BR,,,
282,13-241,"Fennel, Florence, raw",DG,,,
283,13-243,"Fenugreek leaves, raw",DG,,,
284,15-804,"Flan, vegetable, homemade",DR,,,
285,15-807,"Fu-fu, yam, homemade",DR,,,
286,14-091,"Figs, whole green fruit, raw",FA,,,
287,14-336,"Fruit cocktail, canned in juice, whole contents",FA,,tin,
288,14-333,"Fruit salad, homemade",FA,,,
289,16-405,"Fish fingers, cod, grilled/baked",JR,,,
290,16-458,"Fishcakes, cod, homemade",JR,,,
291,19-495,Frankfurter,MI,,tin,
292,19-131,"Faggots in gravy, retail, reheated",MR,,,
293,17-735,"Fruit juice drink, carbonated, ready to drink",PCA,,bottle,
294,17-738,"Fruit juice drink/squash, undiluted",PCC,,bottle,
295,17-107,Fruit gums/jellies,SEC,,,
296,17-824,Fruit pastilles,SEC,,,
297,17-683,"Fudge, homemade",SEC,,,
298,11-1079,"Gingerbread, homemade",AN,Cereals and cereal products,,
299,12-502,Ghee made from vegetable oil,BTM,Milk and milk products,,
300,13-244,"Garlic, raw",DG,Vegetables,,
301,13-245,"Gherkins, raw",DG,Vegetables,,
302,13-608,"Green beans, dried",DI,Vegetables,,
303,14-100,"Gooseberries, cooking, raw",FA,Fruit,punnet,
304,14-384,"Grapefruit, flesh only, raw",FA,Fruit,"loose, individual",
305,14-322,"Grapes, green",FA,Fruit,punnet,
306,14-118,"Guava, flesh only, raw",FA,Fruit,"loose, individual",
307,13-829,Garam masala,H,Herbs and spices,spice jar,
308,13-830,Garlic powder,H,Herbs and spices,spice jar,
309,13-890,"Ginger, fresh",H,Herbs and spices,"loose, individual",
310,13-832,"Ginger, ground",H,Herbs and spices,spice jar,
311,17-640,"Ghee, butter",OF,Meat and meat products,,
312,17-745,"Grape juice, unsweetened",PE,Beverages,"carton, tetrapak, bottle",
313,17-049,"Glucose liquid, BP",SC,"Sugars, preserves and snacks",,
314,17-797,"Guacamole, homemade",WC,"Soups, sauces and miscellaneous foods",,
315,17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods",,
316,17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods",,
317,11-1084,"Hot cross buns, homemade",AP,Cereals and cereal products,,
318,13-556,Houmous,DB,Vegetables,,
319,13-258,"Horseradish, raw",DG,Vegetables,,
320,14-874,"Hazelnuts, kernel only",GA,Nuts and seeds,packet,
321,16-375,"Haddock, flesh only, raw",JA,Fish and fish products,,
322,16-070,"Hake, flesh only, raw",JA,Fish and fish products,,
323,19-496,Ham,MAA,Meat and meat products,,
324,19-132,"Haggis, boiled",MI,Meat and meat products,,
325,19-522,"Hot pot, lamb/beef with potatoes, retail, reheated",MR,Meat and meat products,,
326,17-731,"Horlicks, powder",PAA,Beverages,,
327,17-050,Honey,SC,"Sugars, preserves and snacks",jar,
328,17-800,"Hollandaise sauce, homemade",WC,"Soups, sauces and miscellaneous foods",jar,
329,12-508,"Ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products,,
330,12-509,"Ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products,,
331,17-783,"Icing, butter, homemade",S,"Sugars, preserves and snacks",,
332,17-689,"Ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks",,
333,11-739,Jaffa cakes,AM,Cereals and cereal products,wrapper or box,
334,11-846,"Jam tarts, retail",AS,Cereals and cereal products,,
335,12-516,"Jelly, sugar free, made with water",BR,Milk and milk products,,
336,17-075,"Jam, reduced sugar",SC,"Sugars, preserves and snacks",jar,
337,12-605,"Knickerbocker glory, homemade",BP,Milk and milk products,,
338,12-606,"Kulfi, homemade",BP,Milk and milk products,,
