Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
15-817,"Lentil and potato pie, homemade",Recipe from dietary survey records,DR,15-538 ,Updated 2014,,70.1,0.85,5.3,2.2,18.6,111,469,16.6,,1.4,0.4,,0.3,0.7,0.0,0.0,,2.3,N,,0.40,,,,,,,,0.64,,,,0.99,,,,,,0.15,0.0,Unknown,Unknown
15-818,"Lentil and rice roast, homemade",Recipe from dietary survey records,DR,15-539 ,Updated 2014,,66.3,0.84,5.1,1.8,25.2,131,555,23.6,,1.1,0.3,,0.2,0.6,0.0,0.0,,1.7,N,,0.19,,,,,,,,0.81,,,,0.58,,,,,,Tr,0.1,Unknown,Unknown
15-819,"Lentil and rice roast, with egg, homemade",Recipe from dietary survey records,DR,15-540 ,Updated 2014,,66.7,0.89,5.5,2.1,24.1,131,557,22.7,,1.1,0.3,,0.2,0.6,Tr,0.0,,1.6,N,,0.29,,,,,,,,0.93,,,,0.62,,,,,,Tr,15.4,Unknown,Unknown
15-820,"Lentil cutlets, fried in vegetable oil, homemade",Recipe. Gujerati dish.  Red lentil and potato cutlets.,DR,15-535 ,Updated 2014,,55.1,1.36,8.5,8.3,24.2,199,838,20.8,,1.2,0.1,,0.2,0.8,0.1,Tr,,1.7,N,,0.57,,,,,,,,4.52,,,,2.36,,,,,,Tr,0.0,Unknown,Unknown
15-821,"Lentil pie, homemade",Recipe from review of recipe collection,DR,15-536 ,Updated 2014,,55.4,1.14,6.9,4.3,29.1,175,740,24.1,,4.2,0.8,,0.8,1.9,0.7,Tr,,N,N,,0.28,,,,,,,,2.09,,,,1.18,,,,,,Tr,0.0,Unknown,Unknown
15-198,"Lentil roast, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,61.8,1.25,7.7,3.0,21.9,139,588,18.6,0.7,2.5,N,0.0,N,N,N,0.0,,3.4,,,0.40,,,,,,,,0.90,,,,1.30,,,,,,,0.0,Unknown,Unknown
15-199,"Lentil roast, with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,62.5,1.33,8.2,3.6,20.3,141,596,17.2,0.7,2.3,N,0.0,N,N,N,0.0,,3.1,,,0.60,,,,,,,,1.20,,,,1.30,,,,,,,32.0,Unknown,Unknown
15-822,"Mchicha, homemade",Recipe. West Indian dish. Steamed spinach with onion and tomato.,DR,15-541 ,Updated 2014,,80.1,0.59,3.6,4.7,4.0,73,303,0.1,,3.0,1.1,,1.0,0.9,0.0,0.0,0.0,3.3,N,,0.35,,,,,,,,2.23,,,,1.63,,,,,,Tr,0.0,Unknown,Unknown
15-628,"Methi aloo, homemade","6 samples, fenugreek and potatoes",DR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,71.0,0.43,2.7,10.4,10.1,142,592,8.6,,1.5,0.6,0.0,0.7,0.2,0.0,0.0,0.0,1.3,2.9,,1.06,,,,,,,,4.89,,,,3.88,,,,,,Tr,4.7,Unknown,Unknown
15-734,"Moussaka, vegetable, homemade",Recipe,DR,15-542 ,Updated 2014,,75.5,0.72,4.4,8.6,8.7,133,552,6.0,,2.4,0.7,,0.6,0.4,0.0,0.8,,1.2,N,,2.40,,,,,,,,3.44,,,,1.44,,,,,,0.13,23.1,Unknown,Unknown
15-652,"Moussaka, vegetable, retail","7 samples, 3 brands; cooked in conventional and microwave ovens according to packet directions",DR,15-206 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,75.4,0.94,5.9,4.9,8.0,98,410,3.5,Tr,4.5,1.0,0.0,1.0,0.5,0.9,1.1,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
15-216,"Nut and rice roast, mixed nuts with egg, homemade",Recipe from review of recipe collection. Mixed nuts,DR,,As Vegetable Dishes Supplement 1992,,36.1,2.18,12.1,21.9,23.5,333,1391,20.5,0.3,2.7,N,0.0,N,N,N,0.0,,3.5,,,3.50,,,,,,,,10.80,,,,6.30,,,,,,,29.0,Unknown,Unknown
15-215,"Nut and rice roast, mixed nuts, homemade",Recipe from review of recipe collection. Mixed nuts,DR,,As Vegetable Dishes Supplement 1992,,33.5,2.17,12.0,22.6,25.2,346,1442,22.0,0.3,2.9,N,0.0,N,N,N,0.0,,3.7,,,3.50,,,,,,,,11.20,,,,6.60,,,,,,,0.0,Unknown,Unknown
15-218,"Nut and seed roast, mixed nuts and sunflower seeds with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992.,,37.5,2.35,13.0,23.9,18.1,335,1397,14.9,0.4,2.7,N,0.0,N,1.6,N,0.0,,3.9,,,3.40,,,,,,,,10.20,,,,8.90,,,,,,,33.0,Unknown,Unknown
15-217,"Nut and seed roast, mixed nuts and sunflower seeds, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,34.7,2.35,12.9,24.9,19.6,349,1454,16.2,0.5,2.9,N,0.0,N,1.7,N,0.0,,4.2,,,3.40,,,,,,,,10.60,,,,9.50,,,,,,,0.0,Unknown,Unknown
15-220,"Nut and vegetable roast, mixed nuts with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,42.3,2.03,11.3,21.2,18.3,304,1269,14.3,0.3,3.6,N,0.0,N,N,N,0.0,,3.6,,,3.30,,,,,,,,10.20,,,,6.40,,,,,,,29.0,Unknown,Unknown
15-219,"Nut and vegetable roast, mixed nuts, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,40.1,2.02,11.1,21.9,19.6,314,1311,15.4,0.4,3.8,N,0.0,N,N,N,0.0,,3.9,,,3.20,,,,,,,,10.60,,,,6.80,,,,,,,0.0,Unknown,Unknown
